id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de
553,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,7,FALSE,1,301,301,5879,16,298,158,17,0.0097,1077.41801692095,11,7,9,0.0146,26.6787305804942,26444
554,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,8,FALSE,1,292,292,5879,16,304,145,16,0.0091,1071.08244702663,24,14,14,0.0211,50.522169216238,26444
555,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,9,FALSE,1,295,295,5879,15,192,107,16,0.0072,965.764776934384,15,12,8,0.0215,40.4602041326361,26444
556,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,10,FALSE,1,293,293,5879,17,179,83,15,0.0084,802.59102065265,20,15,11,0.0195,45.1035920516724,26444
557,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,11,FALSE,1,295,295,5879,16,215,79,16,0.0082,771.454755156666,18,13,12,0.016,38.2383990757931,26444
558,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,12,FALSE,1,290,290,5879,16,206,76,15,0.0065,821.247110065983,16,12,11,0.0158,34.2295097522209,26444
559,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,13,FALSE,1,302,302,5879,15,189,82,14,0.0081,815.992896820723,12,7,10,0.0176,31.1667223953232,26444
55,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor-dist,13,FALSE,1,288,288,5879,16,152,93,16,0.0112,371.640712955434,3,2,3,0.0169,5.60921649911277,26444
560,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,14,FALSE,1,294,294,5879,16,196,79,16,0.0083,746.09135476573,17,12,10,0.024,36.0960256016823,26444
561,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,1,FALSE,1,298,298,5879,16,176,80,10,0.008,850.913668613542,11,8,7,0.0078,35.0964623644562,26444
562,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,2,FALSE,1,291,291,5879,16,185,78,11,0.0075,854.36730061143,12,8,8,0.0101,34.2425501972779,26444
563,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,3,FALSE,1,303,303,5879,16,210,81,13,0.0083,797.835633552181,18,13,12,0.0179,39.3455969205658,26444
564,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,4,FALSE,1,294,294,5879,16,220,84,13,0.0093,846.28446637547,14,10,9,0.0086,38.1504406076796,26444
565,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,5,FALSE,1,281,281,5879,17,210,72,13,0.0085,828.756522870503,19,14,12,0.0125,45.2814352307085,26444
566,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,6,FALSE,1,284,284,5879,17,224,90,15,0.0077,973.84593617863,13,8,12,0.009,35.1237887442329,26444
567,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,7,FALSE,1,283,283,5879,17,212,85,13,0.0083,824.293889422484,14,10,10,0.0117,36.2666131421407,26444
568,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,8,FALSE,1,287,287,5879,16,235,100,12,0.0089,958.625117460476,18,14,11,0.0118,44.3008740491427,26444
569,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,9,FALSE,1,291,291,5879,15,238,88,14,0.0082,905.375626628434,17,12,12,0.0128,40.2821760651907,26444
56,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor-dist,14,FALSE,1,297,297,5879,16,161,105,17,0.0193,352.37517278768,7,6,5,0.0291,10.9144445820478,26444
570,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,10,FALSE,1,281,281,5879,15,226,94,17,0.0083,929.740282048061,14,10,9,0.0105,35.1274489816122,26444
571,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,11,FALSE,1,294,294,5879,16,197,66,12,0.0067,874.500345756145,20,15,14,0.0116,57.0406170224114,26444
572,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,12,FALSE,1,273,273,5879,17,153,103,12,0.0097,795.690933785707,17,14,11,0.0165,48.1063152174873,26444
573,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,13,FALSE,1,281,281,5879,17,184,122,15,0.0119,861.030862159552,12,10,8,0.0213,33.6474846236766,26444
574,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor,14,FALSE,1,285,285,5879,15,209,88,14,0.0096,735.073786904089,12,8,8,0.0148,31.8872448648878,26444
575,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,1,FALSE,1,279,279,5879,16,204,78,10,0.0077,734.800315495422,15,13,8,0.0181,36.1245663466866,26444
576,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,2,FALSE,1,297,297,5879,16,196,87,11,0.0089,707.86695312753,16,13,9,0.0194,37.5549940098757,26444
577,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,3,FALSE,1,283,283,5879,16,223,115,13,0.0109,755.191818456004,19,14,11,0.0205,42.6702674767979,26444
578,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,4,FALSE,1,299,299,5879,15,215,87,10,0.0117,760.951080635129,17,12,10,0.0191,39.3569319178579,26444
579,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,5,FALSE,1,290,290,5879,16,193,88,11,0.0117,717.74265744929,15,12,9,0.0168,36.9762857225362,26444
57,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor,1,FALSE,1,296,296,5879,16,211,112,14,0.0082,802.780141373269,11,9,10,0.0313,20.823575634169,26444
580,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,6,FALSE,1,282,282,5879,17,227,121,13,0.0108,771.361863217933,19,13,9,0.0241,41.7877564164713,26444
581,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,7,FALSE,1,300,300,5879,15,175,101,13,0.0133,642.978349122401,22,18,10,0.0274,44.0898606513266,26444
582,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,8,FALSE,1,298,298,5879,16,221,92,12,0.0094,883.082709225914,17,14,10,0.0228,38.1994637150924,26444
583,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,9,FALSE,1,307,307,5879,15,200,120,13,0.0103,722.894185822407,15,14,8,0.0244,33.5584101822955,26444
584,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,10,FALSE,1,307,307,5879,16,192,85,11,0.0098,743.112832992313,24,21,15,0.0248,48.9747877843811,26444
585,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,11,FALSE,1,293,293,5879,16,204,100,14,0.0127,715.161673161229,25,22,16,0.0285,49.6609987256102,26444
586,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,12,FALSE,1,279,279,5879,17,242,127,16,0.0109,809.142009510015,18,13,14,0.0273,37.7350183906552,26444
587,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,13,FALSE,1,278,278,5879,17,233,98,17,0.0097,827.713530005441,22,18,14,0.0262,44.8188271028143,26444
588,signed,1,FALSE,TRUE,FALSE,TRUE,limma,bicor,14,FALSE,1,280,280,5879,16,183,104,11,0.0146,422.838199877944,12,8,10,0.0243,21.2270956074494,26444
589,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,1,FALSE,1,279,279,5879,17,163,59,10,0.0128,559.068672961932,8,5,8,0.0109,21.0764362398367,26444
58,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor,2,FALSE,1,292,292,5879,16,207,104,13,0.0094,787.552569387229,11,9,10,0.0313,20.8185867943134,26444
590,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,2,FALSE,1,288,288,5879,16,135,63,7,0.0073,677.273172227609,11,8,8,0.0174,33.1941133143125,26444
591,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,3,FALSE,1,296,296,5879,16,145,60,6,0.0064,754.142363035729,10,7,6,0.0182,32.384321497366,26444
592,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,4,FALSE,1,280,280,5879,17,143,60,7,0.0066,718.542954257791,12,9,8,0.0183,35.557204181068,26444
593,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,5,FALSE,1,297,297,5879,16,136,66,9,0.008,667.253613506553,11,8,7,0.0193,30.9313047272728,26444
594,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,6,FALSE,1,295,295,5879,17,137,66,7,0.0096,630.839106595309,11,8,7,0.0233,31.2698814160491,26444
595,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,7,FALSE,1,284,284,5879,17,170,94,6,0.0143,683.816605097721,13,10,8,0.0278,33.3040687771449,26444
596,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,8,FALSE,1,290,290,5879,17,127,56,6,0.0061,615.363950862484,13,10,9,0.0219,35.267959025821,26444
597,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,9,FALSE,1,281,281,5879,17,108,72,6,0.0087,552.893442310697,13,12,10,0.0306,36.0432336612482,26444
598,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,10,FALSE,1,278,278,5879,17,95,57,4,0.0058,550.848846235186,12,10,7,0.0251,33.0613157694098,26444
599,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,11,FALSE,1,300,300,5879,15.5,128,66,7,0.0121,359.425694132536,12,8,10,0.0274,21.5663736643088,26444
59,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor,3,FALSE,1,297,297,5879,16,214,102,14,0.0082,855.425747682764,12,9,11,0.0233,24.5548430832305,26444
5,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor,5,FALSE,1,267,267,5879,17,183,89,13,0.0049,1054.5093595129,12,9,10,0.0092,38.3846994210001,26444
600,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,12,FALSE,1,284,284,5879,17,139,68,7,0.0082,683.832574257361,10,8,8,0.0192,25.6620453945152,26444
601,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,13,FALSE,1,296,296,5879,16,139,68,6,0.0078,685.688686240777,11,9,9,0.0209,26.9248003585135,26444
602,signed,1,FALSE,TRUE,FALSE,TRUE,limma,spearman,14,FALSE,1,274,274,5879,18,117,58,5,0.0054,533.093766315701,8,6,7,0.0159,20.3045913647842,26444
603,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor-dist,1,FALSE,1,284,284,5879,16.5,160,76,11,0.0071,839.824029525183,12,7,11,0.0208,28.5086541006855,26444
604,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor-dist,2,FALSE,1,283,283,5879,16,209,74,13,0.0061,864.038270238613,12,7,10,0.0203,27.6509524222363,26444
605,signed,1,FALSE,TRUE,FALSE,TRUE,limma,cor-dist,3,FALSE,1,282,282,5879,16,200,91,14,0.0101,794.081598788044,15,10,13,0.0209,33.4259050867147,26444
