id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval,marbach_total_enriched,unique_marbach_terms,num_marbach_enriched_modules,mean_marbach_pval,total_marbach_pval
164,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,10,FALSE,1,865,865,17309,16,1462,918,60,0.0142,3818.27151624549,70,48,27,0.0153,152.952044991092,45887,10053235.93,6923.03,406,270,45,0.0117,1279.73071481901,129,121,25,0.0292,207.717141101965
165,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,11,FALSE,1,813,813,17309,16,1838,1081,64,0.0135,5392.56788333089,98,62,35,0.0121,259.773683042642,45887,7801318.70,5357.81,365,230,47,0.0135,1233.56508358325,205,177,26,0.0304,329.024229522981
166,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,12,FALSE,1,838,838,17309,16,1967,1125,76,0.0131,5528.45590339274,91,61,40,0.0099,254.397138244829,45887,6090592.73,4169.36,384,210,45,0.0087,1523.66284596521,222,186,21,0.0296,356.839421143054
167,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,13,FALSE,1,841,841,17309,16,1706,1068,74,0.0133,5104.34170647596,59,44,35,0.0131,147.327049461355,45887,4782450.78,3261.19,408,273,53,0.0113,1376.503877343,237,199,18,0.0288,388.403613909023
168,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,14,FALSE,1,838,838,17309,16,1616,1113,55,0.0123,4876.13396432669,38,32,22,0.0137,98.8578125448731,45887,3775923.61,2563.03,280,219,36,0.0086,1123.68552766386,139,119,20,0.029,228.453798329066
169,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,1,FALSE,1,818,818,17309,17,776,578,51,0.0149,1986.62790530089,84,58,29,0.0122,236.669721973422,45887,150729782.35,93399.98,456,280,37,0.0121,1464.78109324468,93,91,14,0.0222,166.662999714666
16,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,2,FALSE,1,827,827,17256,16,931,647,57,0.0155,2530.93405013375,84,67,28,0.0148,186.05851132541,45887,106365401.55,79006.85,424,296,41,0.016,1325.41401878886,84,81,23,0.0271,139.146232736821
170,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,2,FALSE,1,846,846,17309,16,728,506,49,0.0127,1867.12897019385,71,54,26,0.015,208.742446231087,45887,86108548.82,57087.40,441,307,38,0.0167,1291.31201817351,96,90,24,0.0301,155.024453483691
171,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,3,FALSE,1,859,859,17309,16,732,492,39,0.0146,1627.36718940913,64,50,24,0.0139,191.94548881144,45887,53848377.26,38501.11,374,250,35,0.0178,1078.32725773529,84,83,27,0.0297,135.819139673697
172,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,4,FALSE,1,840,840,17309,16,816,634,43,0.0133,2300.97299676121,69,54,24,0.0149,215.362140286913,45887,35974918.94,27672.89,326,224,30,0.0127,1088.66022358622,82,77,23,0.0285,137.369612228723
173,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,5,FALSE,1,840,840,17309,17,990,698,47,0.011,3085.92118052328,80,57,34,0.0137,229.976732266697,45887,25256289.21,20783.81,422,265,40,0.0139,1381.42824561876,57,54,25,0.0324,93.1638651625295
174,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,6,FALSE,1,860,860,17309,16,762,527,41,0.0116,2190.78277800151,60,43,24,0.0111,188.667437660718,45887,18423082.77,16119.66,454,302,35,0.0124,1460.09590452896,43,42,20,0.0263,73.1692648458766
175,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,7,FALSE,1,865,865,17309,16,692,498,45,0.0128,2047.87232497263,71,50,27,0.0138,201.945753154174,45887,13852548.21,12813.93,383,261,37,0.0134,1313.11126137983,54,53,19,0.0228,96.7519370997774
176,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,8,FALSE,1,828,828,17309,16,735,549,52,0.0142,2006.83536366674,69,50,26,0.015,203.547362630166,45887,10675684.89,10387.41,489,359,36,0.0125,1560.46429067697,91,88,29,0.0287,146.561490747399
177,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,9,FALSE,1,842,842,17309,17,787,567,45,0.0144,2091.05762610065,93,73,32,0.0168,243.610971571155,45887,8397229.82,8556.18,503,367,40,0.0115,1604.51525435998,89,85,24,0.0265,151.647202057204
178,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,10,FALSE,1,834,834,17309,16,848,611,55,0.0124,2431.0075349475,100,68,30,0.0163,266.685476027224,45887,6720023.51,7142.67,384,254,35,0.0108,1335.34105324092,93,89,21,0.0305,150.809953613189
179,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,11,FALSE,1,861,861,17309,16,959,693,64,0.0131,2538.22200161121,93,70,31,0.0165,246.714518104564,45887,5457967.71,6030.90,465,294,42,0.0123,1516.48096855167,76,76,21,0.0295,124.265493094779
17,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,3,FALSE,1,842,842,17256,17,1125,824,57,0.0148,2870.83075654484,105,75,37,0.0158,266.67271194078,45887,71626575.25,57973.94,538,412,45,0.0159,1374.94450053613,192,165,25,0.0239,341.022147793164
180,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,12,FALSE,1,848,848,17309,16,751,545,52,0.013,1847.05815776281,70,46,26,0.0133,203.329477784044,45887,4490244.76,5142.44,448,273,38,0.0159,1392.746822579,70,69,17,0.0264,118.570850283019
181,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,13,FALSE,1,846,846,17309,16,884,582,51,0.0126,2412.79098357012,62,42,23,0.0135,161.128761361909,45887,3735981.59,4422.65,539,320,38,0.0146,1607.14872390528,32,29,17,0.0251,59.7177431496254
