id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de
2169,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,13,FALSE,1,243,243,5879,15,98,69,8,0.0116,7,7,6,0.0242,26444
216,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,6,FALSE,1,295,295,5879,16,258,93,17,0.0088,12,8,9,0.01,26444
2170,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,14,FALSE,1,217,217,5879,15,78,65,8,0.0097,7,6,7,0.0164,26444
2171,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,1,FALSE,1,283,283,5879,16,276,106,16,0.0109,23,15,16,0.0228,26444
2172,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,2,FALSE,1,291,291,5879,16,299,93,17,0.0121,17,9,11,0.0075,26444
2173,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,3,FALSE,1,293,293,5879,16,377,128,21,0.0124,17,10,12,0.0156,26444
2174,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,4,FALSE,1,289,289,5879,17,254,77,11,0.0059,11,6,10,0.0107,26444
2175,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,5,FALSE,1,292,292,5879,16,294,82,14,0.0065,18,12,13,0.0103,26444
2176,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,6,FALSE,1,296,296,5879,16,271,103,17,0.0102,16,12,11,0.0123,26444
2177,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,7,FALSE,1,288,288,5879,16,263,77,13,0.0061,10,6,8,0.0012,26444
2178,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,8,FALSE,1,260,260,5879,15,180,72,11,0.0065,11,8,8,0.0133,26444
2179,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,9,FALSE,1,238,238,5879,15,229,77,11,0.0074,10,7,7,0.0046,26444
