id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval
1322,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,6,FALSE,1,799,799,16206,16,618,508,47,0.0139,92,74,35,0.0171,42248,21332102.80,1380.37,211,166,33,0.0103
1323,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,7,FALSE,1,797,797,16206,16,475,369,42,0.0119,66,55,33,0.0179,42248,16848085.54,1128.50,227,152,34,0.013
1324,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,8,FALSE,1,803,803,16206,16,707,592,47,0.0131,61,46,37,0.0147,42248,13585239.71,939.96,240,161,41,0.0118
1325,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,9,FALSE,1,790,790,16206,16,562,474,43,0.0101,91,73,36,0.026,42248,11142863.06,794.88,294,187,39,0.0162
1326,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,10,FALSE,1,801,801,16206,16,425,376,43,0.0105,91,74,33,0.0209,42248,9271932.70,680.72,234,172,42,0.0147
1327,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,11,FALSE,1,821,821,16206,16,487,372,50,0.012,58,45,35,0.0165,42248,7810790.82,589.22,276,165,37,0.0124
1328,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,12,FALSE,1,798,798,16206,16,558,425,48,0.0135,61,47,38,0.0176,42248,6650719.71,514.70,271,152,36,0.013
1329,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,13,FALSE,1,785,785,16206,16,554,431,45,0.013,64,48,36,0.0201,42248,5716435.76,453.21,253,159,37,0.0108
132,signed,1,FALSE,FALSE,FALSE,FALSE,combat,bicor,6,FALSE,1,804,804,16206,16,988,688,62,0.0105,88,50,34,0.0193,42248,51910473.27,3667.83,338,195,45,0.0118
1330,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,14,FALSE,1,806,806,16206,16,644,514,49,0.0154,85,61,42,0.0145,42248,4954506.21,401.86,303,156,40,0.0101
1331,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,1,FALSE,1,777,777,16206,16,1130,785,82,0.0146,68,47,45,0.0141,42248,131604033.21,6962.18,376,229,60,0.0144
1332,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,2,FALSE,1,792,792,16206,16,893,594,72,0.0135,63,51,40,0.0112,42248,79981227.16,4442.70,402,250,59,0.014
1333,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,3,FALSE,1,803,803,16206,16,934,614,79,0.0165,78,60,39,0.0168,42248,54271382.28,3165.19,432,268,63,0.0148
1334,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,4,FALSE,1,824,824,16206,16,1122,787,73,0.0127,104,77,51,0.0153,42248,39046524.57,2379.42,353,245,55,0.0119
1335,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,5,FALSE,1,784,784,16206,16,1039,681,73,0.0131,98,72,45,0.0137,42248,29029506.34,1841.17,340,224,45,0.0108
1336,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,770,770,16206,16,1430,939,75,0.0147,96,73,50,0.0142,42248,22036707.84,1450.98,356,238,57,0.0117
1337,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,773,773,16206,17,1084,783,69,0.0139,87,62,45,0.0174,42248,16984612.79,1158.99,231,163,47,0.0123
1338,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,799,799,16206,16,1014,718,76,0.0142,77,52,42,0.015,42248,13253542.92,935.99,275,188,56,0.0133
1339,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,801,801,16206,16,1039,654,71,0.0128,110,70,49,0.0173,42248,10453938.44,763.14,368,205,49,0.0124
133,signed,1,FALSE,FALSE,FALSE,FALSE,combat,bicor,7,FALSE,1,803,803,16206,16,1042,757,61,0.0127,110,66,44,0.0203,42248,43582085.76,3182.76,361,213,42,0.012
1340,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,816,816,16206,16,1576,982,79,0.0135,93,67,46,0.0154,42248,8326247.99,627.53,435,271,60,0.0137
