id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval
667,signed,1,FALSE,TRUE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,157,157,3183,16,134,50,7,0.0125,6,5,6,0.0165,2798,1,1,1,0.0485
668,signed,1,FALSE,TRUE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,156,156,3183,16,119,51,7,0.0146,2,2,2,0.0116,2798,0,0,0,NaN
669,signed,1,FALSE,TRUE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,146,146,3183,17.5,132,55,8,0.0112,5,4,5,0.0128,2798,0,0,0,NaN
66,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor,10,FALSE,1,150,150,3183,16,95,50,6,0.0039,4,2,4,0.0221,2798,1,1,1,0.0058
670,signed,1,FALSE,TRUE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,159,159,3183,16,87,52,6,0.0082,5,5,5,0.0178,2798,0,0,0,NaN
671,signed,1,FALSE,TRUE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,155,155,3183,17,119,54,8,0.0089,5,4,5,0.013,2798,1,1,1,0.049
672,signed,1,FALSE,TRUE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,157,157,3183,16,77,61,6,0.0108,2,2,2,0.012,2798,0,0,0,NaN
673,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,1,FALSE,1,160,160,3183,15,130,55,6,0.0059,6,4,6,0.0085,2798,0,0,0,NaN
674,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,2,FALSE,1,146,146,3183,17,101,59,6,0.0055,4,3,4,0.0108,2798,1,1,1,0
675,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,3,FALSE,1,161,161,3183,17,158,60,7,0.0062,9,5,9,0.0184,2798,0,0,0,NaN
676,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,4,FALSE,1,162,162,3183,16,132,53,5,0.0052,5,3,5,0.0108,2798,0,0,0,NaN
677,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,5,FALSE,1,161,161,3183,17,126,47,5,0.0049,8,6,8,0.0123,2798,0,0,0,NaN
678,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,6,FALSE,1,156,156,3183,16,145,71,7,0.0059,5,3,5,0.0175,2798,0,0,0,NaN
679,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,7,FALSE,1,152,152,3183,16,136,55,6,0.0054,6,3,6,0.0187,2798,0,0,0,NaN
67,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor,11,FALSE,1,148,148,3183,18,98,50,6,0.0053,4,3,4,0.0232,2798,1,1,1,0.0058
680,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,8,FALSE,1,155,155,3183,17,126,58,7,0.006,6,3,6,0.0098,2798,0,0,0,NaN
681,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,9,FALSE,1,152,152,3183,16,130,60,8,0.0077,5,2,5,0.0093,2798,0,0,0,NaN
682,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,10,FALSE,1,147,147,3183,18,128,63,9,0.0111,8,5,8,0.0181,2798,0,0,0,NaN
683,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,11,FALSE,1,152,152,3183,16.5,107,68,5,0.0082,7,6,7,0.0087,2798,0,0,0,NaN
684,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,12,FALSE,1,150,150,3183,16.5,117,55,6,0.0089,9,7,8,0.0217,2798,0,0,0,NaN
685,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,13,FALSE,1,152,152,3183,16,81,53,3,0.0055,3,3,3,0.0171,2798,0,0,0,NaN
686,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor,14,FALSE,1,147,147,3183,17,98,57,4,0.0052,4,3,4,0.0129,2798,0,0,0,NaN
687,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,1,FALSE,1,148,148,3183,17,173,58,6,0.0073,9,7,9,0.0163,2798,1,1,1,0.0399
688,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,2,FALSE,1,145,145,3183,16,197,82,12,0.0079,8,6,8,0.0158,2798,3,3,1,0
689,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,3,FALSE,1,147,147,3183,18,138,65,8,0.0087,6,5,6,0.0157,2798,0,0,0,NaN
68,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor,12,FALSE,1,148,148,3183,18,98,50,6,0.0053,4,3,4,0.0232,2798,1,1,1,0.0058
690,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,4,FALSE,1,153,153,3183,16,167,82,11,0.0091,6,5,6,0.0156,2798,0,0,0,NaN
691,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,5,FALSE,1,150,150,3183,16.5,167,73,10,0.0068,10,9,10,0.0233,2798,0,0,0,NaN
692,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,6,FALSE,1,157,157,3183,16,143,54,10,0.0094,5,4,5,0.0144,2798,0,0,0,NaN
