id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval
744,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,2,FALSE,1,184,184,3605,15,298,94,9,0.0066,9,4,9,0.0151,2856,0,0,0,NaN
745,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,3,FALSE,1,182,182,3605,16,330,126,12,0.007,11,6,11,0.0182,2856,0,0,0,NaN
746,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,4,FALSE,1,180,180,3605,17,300,96,11,0.0069,15,10,11,0.0135,2856,5,5,2,0.0071
747,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,5,FALSE,1,186,186,3605,15,378,110,11,0.0067,17,11,13,0.0165,2856,5,5,2,0.0118
748,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,6,FALSE,1,194,194,3605,14,320,61,10,0.0045,15,9,14,0.0208,2856,3,3,1,0.0309
749,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,7,FALSE,1,185,185,3605,15,263,68,10,0.0038,11,5,11,0.0211,2856,0,0,0,NaN
74,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,4,FALSE,1,181,181,3605,16,288,94,11,0.0057,8,4,8,0.0089,2856,2,2,2,0.0187
750,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,8,FALSE,1,180,180,3605,15.5,265,119,10,0.0085,7,3,7,0.0167,2856,0,0,0,NaN
751,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,9,FALSE,1,185,185,3605,15,409,129,14,0.0088,11,5,9,0.0225,2856,0,0,0,NaN
752,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,10,FALSE,1,183,183,3605,16,402,122,15,0.0085,10,5,8,0.0156,2856,0,0,0,NaN
753,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,11,FALSE,1,185,185,3605,15,379,108,10,0.0057,13,7,9,0.009,2856,4,4,1,0.0044
754,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,12,FALSE,1,176,176,3605,16,248,88,12,0.0049,12,8,8,0.0093,2856,4,4,1,0.0044
755,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,13,FALSE,1,170,170,3605,17,391,117,13,0.0053,17,10,12,0.0164,2856,4,4,1,0.0235
756,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,14,FALSE,1,166,166,3605,17,384,110,13,0.0059,13,5,13,0.0115,2856,0,0,0,NaN
757,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,1,FALSE,1,180,180,3605,15,349,72,14,0.0048,7,1,7,0.0106,2856,0,0,0,NaN
758,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,2,FALSE,1,183,183,3605,16,346,69,12,0.0044,8,2,8,0.015,2856,1,1,1,0.0472
759,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,3,FALSE,1,174,174,3605,16,393,129,11,0.0088,7,2,7,0.0139,2856,0,0,0,NaN
75,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,5,FALSE,1,173,173,3605,16,261,103,12,0.007,7,3,7,0.0048,2856,1,1,1,0.0261
760,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,4,FALSE,1,185,185,3605,15,317,85,11,0.0077,10,5,8,0.0234,2856,2,2,1,0.0183
761,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,5,FALSE,1,177,177,3605,16,375,133,11,0.0056,6,1,6,0.0095,2856,0,0,0,NaN
762,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,6,FALSE,1,182,182,3605,16,264,58,8,0.0032,6,2,6,0.0056,2856,0,0,0,NaN
763,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,7,FALSE,1,175,175,3605,16,269,63,10,0.0036,9,5,9,0.012,2856,0,0,0,NaN
764,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,8,FALSE,1,177,177,3605,16,288,76,10,0.0036,7,2,7,0.0065,2856,0,0,0,NaN
765,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,9,FALSE,1,185,185,3605,15,334,62,11,0.005,11,5,11,0.0237,2856,0,0,0,NaN
766,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,10,FALSE,1,186,186,3605,15,324,52,10,0.0046,12,6,12,0.0212,2856,0,0,0,NaN
767,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,11,FALSE,1,179,179,3605,16,318,52,10,0.0045,11,5,11,0.0111,2856,0,0,0,NaN
768,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,12,FALSE,1,171,171,3605,16,330,64,13,0.0056,10,4,10,0.0087,2856,0,0,0,NaN
769,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,13,FALSE,1,189,189,3605,16,366,68,13,0.0074,9,4,9,0.0096,2856,0,0,0,NaN
76,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,6,FALSE,1,176,176,3605,16,299,99,12,0.0075,9,3,9,0.0084,2856,1,1,1,0.0261
770,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,14,FALSE,1,176,176,3605,16,347,82,12,0.0069,8,3,8,0.0114,2856,0,0,0,NaN
771,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,1,FALSE,1,183,183,3605,16,256,69,11,0.0055,5,2,5,0.0133,2856,0,0,0,NaN
772,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,174,174,3605,16,297,76,12,0.0061,10,6,10,0.0098,2856,3,3,2,0.0222
773,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,174,174,3605,16,298,77,10,0.0064,10,6,10,0.0134,2856,3,3,2,0.0435
774,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,4,FALSE,1,176,176,3605,16.5,304,83,12,0.0068,12,7,12,0.0207,2856,1,1,1,0
775,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,5,FALSE,1,168,168,3605,17,343,100,12,0.0075,11,5,11,0.0245,2856,0,0,0,NaN
776,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,6,FALSE,1,168,168,3605,17,331,75,9,0.0047,12,7,10,0.0172,2856,1,1,1,0.0129
777,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,7,FALSE,1,172,172,3605,17,254,58,7,0.0024,8,3,8,0.0122,2856,2,2,1,0.034
778,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,8,FALSE,1,166,166,3605,16,383,114,10,0.0068,15,8,11,0.0148,2856,1,1,1,0.022
779,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,9,FALSE,1,170,170,3605,17,379,121,10,0.007,13,6,12,0.0147,2856,1,1,1,0.0025
77,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,7,FALSE,1,176,176,3605,16,360,94,13,0.0058,12,5,12,0.0172,2856,1,1,1,0.0261
780,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,10,FALSE,1,172,172,3605,16,293,51,8,0.0037,12,6,11,0.0178,2856,2,2,1,0.0445
781,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,11,FALSE,1,182,182,3605,18,333,128,9,0.0087,10,6,10,0.0138,2856,0,0,0,NaN
782,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,12,FALSE,1,169,169,3605,17,388,123,11,0.0077,17,11,12,0.0182,2856,2,2,1,0.0178
783,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,13,FALSE,1,184,184,3605,16,341,146,9,0.0046,14,10,10,0.0163,2856,3,3,2,0.0252
784,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,14,FALSE,1,177,177,3605,16,407,118,12,0.0085,12,5,12,0.0137,2856,3,3,3,0.0279
785,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor,1,FALSE,1,174,174,3605,17,282,59,10,0.0046,12,7,12,0.0151,2856,3,3,3,0.0303
786,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor,2,FALSE,1,173,173,3605,17,277,64,12,0.0024,8,3,8,0.0044,2856,1,1,1,0.0461
787,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor,3,FALSE,1,169,169,3605,18,334,120,9,0.0083,13,8,11,0.0183,2856,3,3,2,0.0118
788,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor,4,FALSE,1,176,176,3605,17,410,151,11,0.0125,8,3,8,0.0064,2856,2,2,2,0.0365
