id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval,total_leishcyc_pval
1118,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,12,FALSE,1,216,216,8890,32.5,283,195,10,0.0057,1656.22601302438,14,11,9,0.0181,49.8992043777353,2856,5,5,3,0.0179,11.6632920232377
1119,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,13,FALSE,1,205,205,8890,34,276,191,7,0.0037,1651.59585938357,15,12,13,0.0186,51.1243431035527,2856,1,1,1,0.0223,1.65079504760096
111,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,13,FALSE,1,193,193,8890,31,259,82,11,0.004,2054.15200553152,17,10,15,0.0211,71.8637319978979,2856,5,5,4,0.031,8.63311966115627
1120,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,14,FALSE,1,217,217,8890,34,190,143,9,0.0115,1042.77647935611,9,8,9,0.0184,32.1736143008969,2856,5,5,2,0.0175,9.29886112297153
1121,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,1,FALSE,1,226,226,8890,29,251,166,5,0.0031,1562.88063265934,9,7,8,0.0121,42.2138848313861,2856,2,2,1,0.0385,2.83852150931294
1122,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,2,FALSE,1,208,208,8890,31.5,220,171,7,0.0093,1064.01045886992,8,7,6,0.0163,29.2263384203379,2856,4,4,2,0.0297,6.16508973214266
1123,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,3,FALSE,1,214,214,8890,30,183,156,6,0.0064,830.933065118155,5,3,5,0.0053,24.0620913706634,2856,1,1,1,0.0254,1.59490074286212
1124,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,4,FALSE,1,218,218,8890,31,192,151,6,0.0054,987.940580006903,9,8,8,0.016,30.5682327538664,2856,3,3,1,0.0314,4.56406357607496
1125,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,5,FALSE,1,204,204,8890,33,146,61,6,0.0032,1109.64772088717,7,5,7,0.0095,35.9482160766062,2856,4,4,2,0.0274,6.37209232556201
1126,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,6,FALSE,1,204,204,8890,30.5,225,183,8,0.0071,1109.1338085057,8,6,8,0.0104,33.7753192834249,2856,6,6,3,0.0205,11.52697315649
1127,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,7,FALSE,1,189,189,8890,38,188,119,7,0.0152,900.871547408252,11,9,11,0.0146,33.8427940413626,2856,5,5,2,0.0206,9.26654717310373
1128,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,8,FALSE,1,213,213,8890,30,108,67,5,0.0061,752.221676642168,7,6,6,0.0163,25.6430597688393,2856,4,4,2,0.0324,6.01177214385015
1129,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,9,FALSE,1,204,204,8890,30.5,209,138,9,0.0101,1113.722146699,11,9,10,0.0189,38.6279692888006,2856,8,8,3,0.0178,15.8366258755511
112,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,14,FALSE,1,186,186,8890,31,399,209,10,0.0074,2147.3105099384,15,10,13,0.0098,62.9885819599814,2856,4,4,3,0.0092,8.60061196702786
1130,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,10,FALSE,1,196,196,8890,35,201,123,5,0.0084,1192.3439224771,10,7,10,0.012,39.6092844829927,2856,5,5,2,0.0194,10.2413089615756
1131,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,11,FALSE,1,210,210,8890,32,290,170,8,0.0087,1430.86172741997,8,5,8,0.0085,35.7873421850995,2856,5,5,2,0.019,11.4861183961455
1132,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,12,FALSE,1,201,201,8890,30,218,132,9,0.0115,1262.00881456062,10,8,9,0.0166,38.4252975332527,2856,5,5,3,0.0343,7.38894964919159
1133,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,13,FALSE,1,210,210,8890,29.5,282,173,8,0.0112,1287.69332138311,7,5,7,0.0084,32.2638171869763,2856,7,7,2,0.0318,10.576269235763
1134,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,14,FALSE,1,215,215,8890,27,320,218,10,0.0133,1301.43300477204,8,7,7,0.0245,29.5699089178904,2856,3,3,2,0.0349,4.39266233809292
1135,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,1,FALSE,1,202,202,8890,34,102,102,7,0.0133,562.05517822646,8,8,6,0.0104,24.8886423263775,2856,1,1,1,0.0362,1.44134897263562
1136,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,2,FALSE,1,203,203,8890,34,101,91,10,0.0123,569.708042566027,6,6,6,0.0107,22.6118788894416,2856,12,12,5,0.0278,18.9768693205361
1137,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,3,FALSE,1,196,196,8890,33.5,111,101,13,0.0151,582.398164964062,19,17,16,0.0225,43.4622023434999,2856,6,6,4,0.0371,8.64779922887797
1138,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,4,FALSE,1,195,195,8890,34,127,116,10,0.0184,601.433997750414,8,8,7,0.0178,22.4227405459224,2856,3,3,2,0.0312,4.5295344603425
1139,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,5,FALSE,1,181,181,8890,36,147,145,8,0.0121,656.77290935699,5,4,4,0.01,20.2207983419967,2856,4,4,3,0.0359,5.80502120452822
113,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor,1,FALSE,1,201,201,8890,32,488,252,18,0.0096,2568.81317486024,26,18,15,0.0153,104.348840151488,2856,6,6,3,0.0223,10.8182498622729
1140,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,6,FALSE,1,194,194,8890,36,168,148,9,0.0205,670.361473673354,9,7,7,0.0173,26.3438281894421,2856,3,3,2,0.0351,4.39537530863207
1141,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,7,FALSE,1,202,202,8890,31,227,185,10,0.006,1075.9193624916,11,10,9,0.017,41.3911735550414,2856,6,6,4,0.0329,8.96164439870905
1142,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,8,FALSE,1,193,193,8890,35,192,153,12,0.0164,799.540837837228,8,6,8,0.0197,24.8195532938,2856,9,9,4,0.0256,14.6852699567332
1143,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,9,FALSE,1,192,192,8890,33.5,181,142,12,0.0157,793.677254959997,10,8,9,0.0209,28.4063930454302,2856,3,3,2,0.0356,4.37679800920588
1144,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,10,FALSE,1,200,200,8890,34,133,94,12,0.0091,802.59758169528,11,8,10,0.0214,35.1139498501258,2856,3,3,2,0.0314,4.51986468640259
1145,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,11,FALSE,1,217,217,8890,33,160,103,10,0.01,964.468889894224,16,15,10,0.0262,41.7849670706422,2856,13,13,3,0.0256,21.160841901144
1146,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,12,FALSE,1,214,214,8890,32,147,95,10,0.0095,931.99789094719,14,13,9,0.0222,40.3210091707906,2856,6,6,3,0.0211,10.2264761112822
1147,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,13,FALSE,1,220,220,8890,30,179,106,10,0.0134,800.469367750585,6,4,6,0.0084,23.690869165093,2856,6,6,3,0.0261,9.81683964354949
1148,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,14,FALSE,1,220,220,8890,27.5,111,63,7,0.0053,626.505377025102,11,9,8,0.0148,32.7395676879674,2856,4,4,2,0.0192,7.01649730404049
1149,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,1,FALSE,1,208,208,8890,31,317,185,14,0.0044,1808.62462642411,8,5,8,0.0089,42.1633851973636,2856,1,1,1,0.041,1.38686768989086
114,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor,2,FALSE,1,198,198,8890,32,633,300,21,0.0065,3156.97715147293,27,17,18,0.0132,104.273190195595,2856,7,7,4,0.02,12.7368256572884
1150,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,2,FALSE,1,198,198,8890,32,395,189,10,0.0048,1953.80439347894,10,5,10,0.0135,46.187516843448,2856,10,10,3,0.0232,18.361542280089
1151,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,3,FALSE,1,202,202,8890,33,315,166,7,0.0099,1408.03445670109,9,7,8,0.0103,38.5114599901509,2856,7,7,2,0.0158,14.151005436026
1152,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,4,FALSE,1,208,208,8890,32,228,146,9,0.0049,1281.39965705995,18,15,10,0.0185,53.2268564548555,2856,4,4,1,0.0169,7.58979038631821
1153,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,5,FALSE,1,200,200,8890,32,271,190,10,0.0127,940.506382899157,11,10,8,0.0077,32.1816116082706,2856,7,7,2,0.0326,10.773033514182
1154,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,6,FALSE,1,185,185,8890,36,180,152,10,0.0093,767.040630182226,8,7,8,0.0091,26.0569422229378,2856,3,3,1,0.02,5.26490582939033
1155,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,7,FALSE,1,199,199,8890,32,149,94,11,0.0071,1004.46672654601,11,9,10,0.0153,38.3976892715195,2856,7,7,3,0.0156,14.2868737060409
1156,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,8,FALSE,1,189,189,8890,37,213,156,9,0.0044,1196.99152121829,10,7,10,0.0141,35.5923839263454,2856,7,7,3,0.0135,14.4892134579359
