id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval,marbach_total_enriched,unique_marbach_terms,num_marbach_enriched_modules,mean_marbach_pval,total_marbach_pval
237,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,13,FALSE,1,543,543,29219,34,2080,1567,34,0.0096,8802.71641154868,80,69,30,0.0138,258.189604407734,55119,9290868.41,16815.44,784,606,28,0.0133,3030.28137186768,548,284,33,0.0216,1137.14881263557
238,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,14,FALSE,1,627,627,29219,30,2014,1427,51,0.0106,8067.65814172866,94,71,34,0.012,283.139582008539,55119,7922676.40,15294.57,870,608,44,0.0125,3002.363726185,698,405,42,0.021,1414.71213606746
239,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,1,FALSE,1,422,422,29219,39,2112,1791,29,0.0098,9182.03024631937,87,78,17,0.0203,266.48231247463,55119,430531505.09,169743.45,646,553,21,0.0103,2730.57434938793,313,170,29,0.0184,796.4455404769
23,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,9,FALSE,1,303,303,29109,34,2298,1777,29,0.008,11195.854153461,87,78,19,0.0074,350.629582643416,55119,101691081.47,136901.55,793,696,26,0.0139,2969.68841935704,369,218,18,0.011,1436.64641047702
240,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,2,FALSE,1,399,399,29219,39,2167,1845,32,0.0106,9089.96008064782,75,65,20,0.0115,269.078930409148,55119,239399411.44,109627.83,583,534,24,0.0083,2687.90925860415,333,185,34,0.0162,905.985940872591
241,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,3,FALSE,1,410,410,29219,39,2174,1741,29,0.0096,9222.28979497065,75,65,21,0.0096,272.160495872057,55119,143265905.13,78620.33,535,482,22,0.0071,2661.49210280698,583,303,36,0.0205,1433.8219820888
242,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,4,FALSE,1,400,400,29219,38,2270,1815,30,0.0088,9457.92298121985,107,90,25,0.0126,312.726708909649,55119,91058827.00,60111.04,560,483,30,0.0078,2639.30831122179,349,206,35,0.0155,1047.89695583496
243,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,5,FALSE,1,393,393,29219,41,2201,1731,30,0.0106,9091.6506155512,119,102,24,0.0144,334.11232815047,55119,60917855.55,47975.86,809,722,29,0.0121,3164.79483839662,464,216,27,0.016,1226.40071587314
244,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,6,FALSE,1,393,393,29219,37,2033,1753,27,0.0091,9192.30562579349,89,79,23,0.0178,295.915565365457,55119,42592256.98,39483.61,681,627,27,0.0126,2968.97217828603,295,172,33,0.0186,701.806065731824
245,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,7,FALSE,1,387,387,29219,39,2055,1694,34,0.0094,8970.73308772566,139,105,20,0.0136,384.031981695331,55119,30936664.06,33248.65,741,629,25,0.0118,2975.28709099229,337,173,27,0.0172,830.712251338791
