id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval,total_leishcyc_pval
235,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,11,FALSE,1,422,422,9122,16,937,439,42,0.0069,4324.23698175548,34,20,31,0.011,144.998493606952,57258,11,11,5,0.0234,29.6640432701997
236,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,12,FALSE,1,404,404,9122,16,995,429,45,0.0063,4694.21834832914,40,25,34,0.0124,161.607835914813,57258,14,14,8,0.0241,35.3889032910784
237,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,13,FALSE,1,390,390,9122,16,873,404,42,0.007,4450.13471762116,44,30,30,0.0142,165.556654621224,57258,11,11,7,0.0144,38.5433369595318
238,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,14,FALSE,1,368,368,9122,15.5,870,421,39,0.0069,4321.04153751183,43,31,30,0.0128,158.884919183425,57258,8,8,5,0.0206,18.5833357369541
239,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,1,FALSE,1,457,457,9122,15,799,380,34,0.005,4522.80795422577,42,23,29,0.0098,170.277930151847,57258,11,11,7,0.0131,32.8358010838714
23,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,9,FALSE,1,439,439,9122,16,927,395,24,0.0057,4471.48389202724,31,22,26,0.0114,129.393304549864,57258,9,9,6,0.0126,28.1112194952595
240,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,2,FALSE,1,447,447,9122,16,955,400,36,0.0071,4888.69172649887,40,23,34,0.0107,155.666785552666,57258,6,6,5,0.0137,15.806035444032
241,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,3,FALSE,1,473,473,9122,16,1062,466,38,0.008,5082.32299718285,45,32,35,0.0114,164.975314616706,57258,8,8,6,0.0074,27.9626104822953
242,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,4,FALSE,1,459,459,9122,16,1033,405,39,0.0059,4998.1846044041,46,28,35,0.0086,170.334490789513,57258,5,5,4,0.0129,14.2538347153229
243,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,5,FALSE,1,453,453,9122,16,970,396,35,0.0069,4580.77779767478,45,26,32,0.0102,161.992861910494,57258,7,7,5,0.0151,23.8552850841169
