id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval
1172,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,10,FALSE,1,825,825,16207,16,1051,729,68,0.0133,3354.54923190581,83,57,37,0.0156,216.601281647055,42250,8717031.08,659.81,350,230,41,0.0108,1382.86849865072
1173,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,11,FALSE,1,810,810,16207,16,1360,975,75,0.015,3900.99359604538,105,67,40,0.0162,275.133938033625,42250,7014518.31,548.88,424,273,53,0.0127,1412.89407161972
1174,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,12,FALSE,1,801,801,16207,15,1078,682,76,0.0135,3290.41230722789,102,69,43,0.0177,265.953762059993,42250,5693332.42,459.94,424,260,54,0.0112,1536.04186190402
1175,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,13,FALSE,1,797,797,16207,16,1098,786,70,0.0125,3492.45248702481,95,71,42,0.0207,233.994423595126,42250,4658168.28,387.99,360,269,51,0.0115,1289.40074939198
1176,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,14,FALSE,1,813,813,16207,16,1200,837,73,0.0129,3716.26306286341,109,68,36,0.015,289.707294046587,42250,3839794.46,329.30,407,265,54,0.0106,1523.50301360999
1177,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,1,FALSE,1,789,789,16207,16,897,602,48,0.0113,2856.63321198082,81,56,37,0.0166,212.521240207674,42250,131582388.70,6987.17,390,219,48,0.0097,1500.98907276776
1178,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,2,FALSE,1,785,785,16207,16,896,667,60,0.0129,2827.34164392001,77,57,34,0.0144,229.849938623885,42250,82524550.83,4632.87,386,225,50,0.0081,1448.45814517346
1179,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,3,FALSE,1,785,785,16207,16,731,564,51,0.011,2439.86928739198,93,74,35,0.0155,253.780522858205,42250,58046900.71,3436.20,379,228,44,0.0091,1352.20099338986
117,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor,5,FALSE,1,825,825,16207,16,1007,703,73,0.012,3151.7929315024,70,57,39,0.0164,195.369098567979,42250,65630838.72,4501.59,393,243,62,0.0101,1427.72993280827
1180,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,4,FALSE,1,817,817,16207,16,781,611,58,0.0124,2520.08211956256,91,67,34,0.0178,212.425063756822,42250,43623117.54,2705.72,389,252,53,0.0107,1248.88168968682
1181,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,5,FALSE,1,807,807,16207,16,662,491,47,0.0125,2115.2232745204,93,58,35,0.0197,234.634249053542,42250,34206795.67,2210.66,339,204,47,0.0123,1292.49824643639
1182,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,6,FALSE,1,792,792,16207,16,718,501,54,0.012,2311.09914439249,97,69,39,0.0159,255.189784370038,42250,27631417.99,1852.45,364,216,48,0.0105,1387.84192430837
1183,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,7,FALSE,1,805,805,16207,16,889,687,50,0.0117,2987.40057101544,89,66,32,0.017,247.688407129285,42250,22818756.01,1581.49,297,197,40,0.0087,1234.38933044719
1184,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,8,FALSE,1,805,805,16207,16,778,594,50,0.0103,2759.29228930256,80,53,35,0.0179,210.698199964898,42250,19172015.35,1369.85,330,193,39,0.0109,1210.10383264132
1185,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,9,FALSE,1,803,803,16207,16,780,567,49,0.0124,2637.21950068894,92,70,39,0.0195,225.302452939624,42250,16333931.63,1200.43,296,187,42,0.0089,1091.36023428425
1186,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,10,FALSE,1,798,798,16207,16,902,682,55,0.0127,2955.16760070549,78,56,32,0.0188,210.670187426297,42250,14077567.99,1062.15,301,196,46,0.0104,1101.61099653119
1187,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,11,FALSE,1,822,822,16207,15,780,615,54,0.0119,2743.03568873707,87,61,37,0.016,218.582794438508,42250,12251985.84,947.48,333,187,42,0.0101,1127.63257875245
1188,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,12,FALSE,1,824,824,16207,16,931,657,60,0.0111,3200.84567675576,112,70,41,0.0172,295.461554567413,42250,10753050.59,851.11,401,213,52,0.01,1541.50606512623
1189,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,13,FALSE,1,818,818,16207,16,829,604,60,0.011,2944.52428225061,107,81,38,0.0201,269.198870634876,42250,9506743.26,769.18,356,191,48,0.0102,1390.06689500101
118,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor,6,FALSE,1,812,812,16207,16,1002,707,75,0.0136,3037.42226031145,94,68,43,0.0182,233.077333638579,42250,54863321.00,3898.87,448,261,66,0.0118,1520.45884195095
1190,signed,1,TRUE,TRUE,FALSE,TRUE,none,cor,14,FALSE,1,796,796,16207,16,913,760,58,0.0107,3189.27176955585,124,100,41,0.018,295.274897723708,42250,8459129.15,698.86,278,196,51,0.0109,1053.28749155041
1191,signed,1,TRUE,TRUE,FALSE,TRUE,none,bicor,1,FALSE,1,788,788,16207,16,810,652,42,0.0143,2197.61931518795,90,60,37,0.0153,207.063690604397,42250,131838935.13,6991.27,312,186,46,0.0082,1217.91074596776
1192,signed,1,TRUE,TRUE,FALSE,TRUE,none,bicor,2,FALSE,1,789,789,16207,16,816,678,53,0.0135,2285.88752580897,98,73,38,0.0174,225.557548146976,42250,79289837.82,4416.76,275,153,43,0.0094,1132.99412048492
1193,signed,1,TRUE,TRUE,FALSE,TRUE,none,bicor,3,FALSE,1,809,809,16207,16,967,781,59,0.0135,2690.29030022718,91,65,37,0.0126,223.362887893664,42250,52978401.51,3106.49,322,197,51,0.0073,1258.67429360786
1194,signed,1,TRUE,TRUE,FALSE,TRUE,none,bicor,4,FALSE,1,784,784,16207,16,790,628,57,0.0148,2250.88370463213,100,79,41,0.0171,252.966785273395,42250,37838948.73,2329.29,330,205,46,0.0101,1311.46141771484
1195,signed,1,TRUE,TRUE,FALSE,TRUE,none,bicor,5,FALSE,1,789,789,16207,16,872,697,50,0.0115,2959.24764178326,108,79,38,0.0167,264.977284647143,42250,28286333.29,1821.74,393,257,49,0.0101,1584.885321296
1196,signed,1,TRUE,TRUE,FALSE,TRUE,none,bicor,6,FALSE,1,794,794,16207,16,772,581,58,0.0136,2286.12735191937,79,67,35,0.0203,182.495135195794,42250,21858650.02,1468.10,312,186,46,0.011,1216.79871236915
